id	ques
0001dbcf-7b66-4a3d-af01-9b4c8926e7c3	语文议论文议论文不太好找不好这双方关系您指导指导这篇文跑题嘛能得多少分
000332ed-02e4-4e20-92be-2fc7b222aed7	运动会音乐运动会音乐
00039ce3-0b5a-4a02-bd7a-1e573b466e96	富贵不能淫四根据对文章的理解进行回答问题呀
00063274-1008-4525-9b7d-9f297f72bde1	作文我与传统文化亲密接触写希望解答一下
000e8b8e-dd4d-407e-9dad-33e18fb16fae	这一类的题怎么写呀文言文特殊语法体现了句子怎么写
00161177-f575-4547-b6ef-159e9e68e499	七年级名著阅读西游记的内容梗概
00177f6c-ce55-440a-b649-c63f3deb007b	承天寺夜游作者表达的思想
0019e404-7858-4b97-89a4-d8ad577832e4	文言文茅屋为秋风所破歌中的南村群童中的南村是南边村子还是村子的南边怎么翻译
001b0807-b291-4916-8382-52dbad619385	从百草园到三味书屋鲁迅的朝花夕拾中的从百草园到三味书屋主要表达了鲁迅怎样的情感
001d8959-54be-4f0d-a81e-10be9089bc68	的写作二帮我看看我的作文然后看看我目前应该可以得多少分怎么能改到满分作文
00204bf0-b1e9-4972-8833-6f4384b78779	河中石兽的结局讲了怎样的道理解答
0020b946-42a9-4e3e-b062-ec91ad900a01	红岩成岗在故事中都做了哪些重要的事件
00237371-e56e-4f19-8a6f-8f4a1e0f54f9	根据标题写作文根据图片中的要求写作文看字数
0025cff1-dce4-4c1b-b4ea-610417968ab4	过零丁洋里第三句妙在哪里
00285b5d-f507-46ee-9546-77201a4fd6eb	课外古诗词翻译您能快点发给我诗词翻译一共四首
0029abf9-85be-4d38-a149-5d4f0f33fbe3	昆虫记找两个具体的介绍昆虫的情节和它的中心表达的情感各200字
002b847f-7638-4947-bba8-033c9ea348ab	2018记叙文阅读这道题4怎么做不太会文中出现的主要是的词语啊
002ec27c-ffab-4e6d-883f-0f7ebf824659	晚春这首诗作者表达了什么样的思想感情的解答晚春这首诗作者表达了什么样的思想感情
002f1581-3464-478a-8cb9-65912382504d	文言文句子翻译文言文句子的翻译有哪些方法
